,Server,Latency,Jitter,Download,Upload,Packet Loss
Tue Jun 22 22:08:01,Arjuntelecom - Chennai,73.53,21.38,1.01,0.90,0.0
Tue Jun 22 22:10:01,Airtel Broadband - Chennai,,,,,
Tue Jun 22 22:12:01,ACT Fibernet - Chennai,41.53,21.92,4.29,1.09,0.0
Tue Jun 22 22:14:01,Airconnect Fibernet - Chennai,43.16,30.77,2.37,0.94,0.3
Tue Jun 22 22:16:01,TataSky Broadband Private Limited - Chennai,77.35,3.04,2.12,1.67,0.0
Tue Jun 22 22:18:01,Arjuntelecom - Chennai,79.05,1.20,2.70,1.81,0.0
Tue Jun 22 22:20:01,Shyam Spectra - Chennai,49.54,14.71,1.01,2.09,0.0
Tue Jun 22 22:22:01,TataSky Broadband Private Limited - Chennai,78.82,1.43,1.84,1.55,0.0
Tue Jun 22 22:24:01,TataSky Broadband Private Limited - Chennai,40.82,20.62,2.20,1.20,0.0
Tue Jun 22 22:26:01,Airconnect Fibernet - Chennai,53.91,6.82,1.47,1.65,0.0
Tue Jun 22 22:28:01,Sri Vari Network Private Limited - Chennai,42.56,25.92,1.50,1.26,
Tue Jun 22 22:30:01,ACT Fibernet - Chennai,44.01,21.45,1.35,1.81,0.0
Tue Jun 22 22:32:01,Airconnect Fibernet - Chennai,43.02,11.87,3.90,2.50,0.4
Tue Jun 22 22:34:01,Arjuntelecom - Chennai,42.93,18.90,1.80,1.91,0.0
Tue Jun 22 22:36:01,TataSky Broadband Private Limited - Chennai,55.74,10.56,2.67,2.61,0.0
Tue Jun 22 22:38:01,Arjuntelecom - Chennai,61.51,12.69,2.31,1.65,0.0
Tue Jun 22 22:40:01,Airtel Broadband - Chennai,41.21,29.30,1.28,2.04,
